resource_path,texture_name,source_width,source_height
0828Artifacts,0828Artifacts,320,96
Animation/Tile/anim_sec_color_porcelain,anim_sec_color_porcelain,704,64
Animation/Tile/TileMaskAnimation/anim_tile_mask_corrupted,anim_tile_mask_corrupted,384,64
Animation/Tile/TileMaskAnimation/anim_tile_mask_fractured,anim_tile_mask_fractured,640,64
Animation/Tile/TileMaskAnimation/anim_tile_mask_grow,anim_tile_mask_grow,896,64
Animation/Tile/TileMaskAnimation/anim_tile_mask_suppressed,anim_tile_mask_suppressed,512,64
Artifacts,Artifacts,128,3264
Artifacts_New,Artifacts_New,320,1280
ascensions,ascensions,128,32
Background/BackgroundGameBoss,BackgroundGameBoss,1920,1080
Background/BackgroundGameDefault,BackgroundGameDefault,1920,1080
Background/BackgroundShop,BackgroundShop,1920,1080
Background/LayerdSprites/BossBackground,BossBackground,1920,1080
Background/LayerdSprites/BossCloudBack,BossCloudBack,1553,301
Background/LayerdSprites/BossCloudFront,BossCloudFront,1920,482
Background/LayerdSprites/BossCloudMiddle,BossCloudMiddle,1920,827
Background/LayerdSprites/cloud,cloud,3740,573
Background/LayerdSprites/Clouds/云中,云中,2855,120
Background/LayerdSprites/Clouds/云前,云前,3452,237
Background/LayerdSprites/Clouds/云后,云后,2041,105
Background/LayerdSprites/shop/山中绿,山中绿,1920,483
Background/LayerdSprites/shop/山中黄,山中黄,1920,483
Background/LayerdSprites/shop/山前绿,山前绿,1920,366
Background/LayerdSprites/shop/山前黄,山前黄,1920,366
Background/LayerdSprites/shop/山后绿,山后绿,514,301
Background/LayerdSprites/shop/山后黄,山后黄,514,301
Background/LayerdSprites/shop/殿绿,殿绿,1920,1080
Background/LayerdSprites/shop/殿黄,殿黄,1920,1080
Background/LayerdSprites/shop/绿云中,绿云中,1920,1080
Background/LayerdSprites/shop/绿云前,绿云前,1920,1080
Background/LayerdSprites/shop/绿云后,绿云后,1920,1080
Background/LayerdSprites/shop/黄云中,黄云中,1920,1080
Background/LayerdSprites/shop/黄云前,黄云前,1920,1080
Background/LayerdSprites/shop/黄云后,黄云后,1920,1080
Background/LayerdSprites/shop1,shop1,1920,1080
Background/LayerdSprites/shop2,shop2,1920,1080
Background/LayerdSprites/shop3,shop3,1920,1080
Background/LayerdSprites/shop4,shop4,1920,1080
Background/LayerdSprites/中景,中景,1920,827
Background/LayerdSprites/前景,前景,1920,482
Background/LayerdSprites/后景,后景,1553,301
Background/LayerdSprites/背景,背景,1920,1080
Background/Numbers,Numbers,111,13
Background/TransitionL,TransitionL,256,270
Background/TransitionR,TransitionR,256,270
Background/屏风右中,屏风右中,256,270
Background/屏风右大,屏风右大,256,270
Background/屏风右小,屏风右小,256,270
Background/屏风左中,屏风左中,256,270
Background/屏风左大,屏风左大,256,270
Background/屏风左小,屏风左小,256,270
Background/渐变纯色,渐变纯色,1920,1080
Background/背景色,背景色,192,191
boss_icons,boss_icons,384,96
Coin/妖姬金币1,妖姬金币1,64,64
Coin/妖姬金币10,妖姬金币10,64,64
Coin/妖姬金币11,妖姬金币11,64,64
Coin/妖姬金币12,妖姬金币12,64,64
Coin/妖姬金币13,妖姬金币13,64,64
Coin/妖姬金币14,妖姬金币14,64,64
Coin/妖姬金币15,妖姬金币15,64,64
Coin/妖姬金币16,妖姬金币16,64,64
Coin/妖姬金币2,妖姬金币2,64,64
Coin/妖姬金币3,妖姬金币3,64,64
Coin/妖姬金币4,妖姬金币4,64,64
Coin/妖姬金币5,妖姬金币5,64,64
Coin/妖姬金币6,妖姬金币6,64,64
Coin/妖姬金币7,妖姬金币7,64,64
Coin/妖姬金币8,妖姬金币8,64,64
Coin/妖姬金币9,妖姬金币9,64,64
Coin/钱袋子,钱袋子,192,64
Coin/铜板,铜板,44,44
Coin,Coin,16,16
cursor,cursor,32,32
cursor_new,cursor_new,24,24
Directions,Directions,128,64
discord-mark-black,discord-mark-black,619,469
Effects/Boss/timeless,timeless,3712,128
Effects/Tile/fu_increase,fu_increase,512,256
Effects/Tile/luck_draw,luck_draw,1024,64
Effects/Tile/timeless,timeless,3712,128
english_logo,english_logo,1024,448
ExampleTiles,ExampleTiles,576,256
GamepadIcons/ui_gamepad_icon_button,ui_gamepad_icon_button,128,128
GamepadIcons/ui_gamepad_icon_button_east,ui_gamepad_icon_button_east,128,128
GamepadIcons/ui_gamepad_icon_button_north,ui_gamepad_icon_button_north,128,128
GamepadIcons/ui_gamepad_icon_button_south,ui_gamepad_icon_button_south,128,128
GamepadIcons/ui_gamepad_icon_button_west,ui_gamepad_icon_button_west,128,128
GamepadIcons/ui_gamepad_icon_dpad,ui_gamepad_icon_dpad,128,128
